Index,"r_v,v","K_v,v","r_v,ifn",d_v,"r_ifn,v",d_ifn,"r_m,ifn","k_m,ifn",d_m,n,"r_v,m","r_ifn,m",AIC,Error,DOF
0,0,0,0,0,0,0,0,0,0,0,0,0,53.95785343,14.97892672,12
1,0,0,0,0,0,0,0,0,0,0,0,1,46.27295935,10.13647967,13
2,0,0,0,0,0,0,0,0,0,0,1,0,48.41373183,11.20686591,13
4,0,0,0,0,0,0,0,0,0,1,0,0,48.20332323,11.10166161,13
8,0,0,0,0,0,0,0,0,1,0,0,0,45.18499643,9.592498217,13
16,0,0,0,0,0,0,0,1,0,0,0,0,44.17555198,9.087775992,13
32,0,0,0,0,0,0,1,0,0,0,0,0,44.32774149,9.163870745,13
64,0,0,0,0,0,1,0,0,0,0,0,0,47.20996941,10.60498471,13
128,0,0,0,0,1,0,0,0,0,0,0,0,39.53984923,6.769924614,13
256,0,0,0,1,0,0,0,0,0,0,0,0,44.87829458,9.439147288,13
512,0,0,1,0,0,0,0,0,0,0,0,0,47.19698981,10.5984949,13
1024,0,1,0,0,0,0,0,0,0,0,0,0,45.35445383,9.677226913,13
2048,1,0,0,0,0,0,0,0,0,0,0,0,44.41969737,9.209848687,13
4095,1,1,1,1,1,1,1,1,1,1,1,1,53.43284708,2.716423542,24
