,0,1,2,3,4,5,6,7,8,9,fitness
0,0,0,0,0,0,0,0,0,0,0,"(70.8473695556891,)"
1,0,0,0,0,1,0,0,0,0,0,"(103.62334289633566,)"
2,0,0,0,0,0,1,0,0,0,0,"(104.99022664639082,)"
3,1,0,0,0,1,0,0,0,0,0,"(107.97658503366307,)"
4,0,0,0,0,1,0,0,0,1,0,"(107.98368117523265,)"
5,0,0,0,0,1,1,0,0,0,0,"(107.98071499721858,)"
6,0,0,0,1,1,0,0,0,0,0,"(107.97703153499695,)"
7,0,0,1,0,1,0,0,0,0,0,"(107.97737820008597,)"
8,0,1,0,0,1,0,0,0,0,0,"(107.98139328022302,)"
9,0,0,0,0,1,0,1,0,0,0,"(107.98269552241644,)"
10,0,0,0,0,1,0,0,0,0,1,"(107.98607378045925,)"
11,0,0,0,0,1,0,0,1,0,0,"(107.99221217410445,)"
12,1,0,0,0,0,1,0,0,0,0,"(109.08132601189685,)"
13,0,0,0,0,0,1,0,0,0,1,"(109.19338013661414,)"
14,0,0,0,0,0,1,0,1,0,0,"(109.22858817212881,)"
15,0,0,0,1,0,1,0,0,0,0,"(109.23856839610454,)"
16,0,1,0,0,0,1,0,0,0,0,"(109.26272300022238,)"
17,0,0,0,0,0,1,1,0,0,0,"(109.34822924423376,)"
18,0,0,1,0,0,1,0,0,0,0,"(109.35607381530886,)"
19,0,0,0,0,0,1,0,0,1,0,"(109.34445145223188,)"
20,1,0,0,0,0,0,0,0,0,0,"(110.19766700524607,)"
21,0,0,0,1,0,0,0,0,0,0,"(110.33249159205529,)"
22,0,1,0,0,0,0,0,0,0,0,"(110.45201599102595,)"
23,0,0,1,0,0,0,0,0,0,0,"(111.59745500406939,)"
24,1,0,1,0,1,0,0,0,0,0,"(112.34070048273185,)"
25,1,0,0,1,1,0,0,0,0,0,"(112.34873905886069,)"
26,1,1,0,0,1,0,0,0,0,0,"(112.34724086655316,)"
27,0,0,0,0,1,0,0,0,1,1,"(112.33403187751048,)"
28,0,0,0,0,1,0,0,1,0,1,"(112.33283841484759,)"
29,0,0,1,0,1,0,0,0,0,1,"(112.33038475481348,)"
30,0,0,1,0,1,1,0,0,0,0,"(112.34196451259677,)"
31,1,0,0,0,1,1,0,0,0,0,"(112.33956954043643,)"
32,1,0,0,0,1,0,0,0,1,0,"(112.33226646308054,)"
33,0,1,0,0,1,0,0,0,1,0,"(112.33860276732142,)"
34,0,0,0,0,1,1,0,0,1,0,"(112.33244392625309,)"
35,1,0,0,0,1,0,0,0,0,1,"(112.33067153955453,)"
36,0,0,0,0,1,0,1,0,1,0,"(112.3399243069102,)"
37,0,1,0,0,1,1,0,0,0,0,"(112.33480861742856,)"
38,0,0,0,1,1,0,0,0,1,0,"(112.3329426746036,)"
39,0,0,0,0,1,1,0,0,0,1,"(112.33020687866625,)"
40,0,0,0,1,1,1,0,0,0,0,"(112.33415394434394,)"
41,0,0,1,0,1,0,0,0,1,0,"(112.33917138820709,)"
42,1,0,0,0,1,0,1,0,0,0,"(112.33771137452543,)"
43,0,0,1,1,1,0,0,0,0,0,"(112.33124364889795,)"
44,0,0,0,1,1,0,1,0,0,0,"(112.35165702287125,)"
45,0,0,1,0,1,0,1,0,0,0,"(112.33715753606347,)"
46,0,1,0,0,1,0,0,0,0,1,"(112.33113494138561,)"
47,0,1,1,0,1,0,0,0,0,0,"(112.33899029056249,)"
48,0,0,0,0,1,0,1,0,0,1,"(112.33518499265168,)"
49,1,0,0,0,1,0,0,1,0,0,"(112.33874032410728,)"
50,0,1,0,0,1,0,0,1,0,0,"(112.34023937130738,)"
51,0,0,0,1,1,0,0,0,0,1,"(112.33146799351402,)"
52,0,0,0,0,1,1,0,1,0,0,"(112.33712342877402,)"
53,0,0,0,0,1,1,1,0,0,0,"(112.34106090553885,)"
54,0,0,0,0,1,0,0,1,1,0,"(112.33828317481375,)"
55,0,0,0,1,1,0,0,1,0,0,"(112.35371132685916,)"
56,0,0,0,0,1,0,1,1,0,0,"(112.35731818797481,)"
57,0,1,0,0,1,0,1,0,0,0,"(112.35009092403769,)"
58,0,0,1,0,1,0,0,1,0,0,"(112.34026330996893,)"
59,0,1,0,1,1,0,0,0,0,0,"(112.34617084955012,)"
60,0,0,0,0,0,0,0,0,0,1,"(112.97420814688726,)"
61,0,0,0,0,0,0,0,1,0,0,"(112.95542694774247,)"
62,0,0,0,0,0,0,1,0,0,0,"(113.25031857971017,)"
63,1,1,0,0,0,1,0,0,0,0,"(113.37435425116462,)"
64,1,0,1,0,0,1,0,0,0,0,"(113.38833558583882,)"
65,1,0,0,1,0,1,0,0,0,0,"(113.38082082078978,)"
66,0,1,0,1,0,1,0,0,0,0,"(113.37226013454963,)"
67,1,0,0,0,0,1,0,0,0,1,"(113.33549743522784,)"
68,1,0,0,0,0,1,0,1,0,0,"(113.4734504501425,)"
69,1,0,0,0,0,1,0,0,1,0,"(113.42594492184296,)"
70,0,0,0,1,0,1,0,0,0,1,"(113.44111845053769,)"
71,0,1,0,0,0,1,0,0,0,1,"(113.46546092152128,)"
72,0,0,1,1,0,1,0,0,0,0,"(113.46957767839473,)"
73,1,0,0,0,0,1,1,0,0,0,"(113.53272557952553,)"
74,0,1,1,0,0,1,0,0,0,0,"(113.50987068686044,)"
75,0,0,0,1,0,1,0,1,0,0,"(113.49043271951436,)"
76,0,1,0,0,0,1,0,1,0,0,"(113.4933670902673,)"
77,0,0,1,0,0,1,0,0,0,1,"(113.51982793560322,)"
78,0,0,0,0,0,1,0,1,0,1,"(113.53215582111076,)"
79,0,0,0,0,0,1,1,0,0,1,"(113.53873872439581,)"
80,0,0,1,0,0,1,0,1,0,0,"(113.6078281327454,)"
81,0,0,0,0,0,1,0,0,1,1,"(113.53174160760219,)"
82,0,0,0,0,0,1,1,1,0,0,"(113.61497974511995,)"
83,0,0,0,0,0,1,0,1,1,0,"(113.54067478620024,)"
84,0,0,0,0,0,1,1,0,1,0,"(113.55325322761223,)"
85,0,1,0,0,0,1,1,0,0,0,"(113.55927640207875,)"
86,0,0,0,1,0,1,0,0,1,0,"(113.58729410948064,)"
87,0,1,0,0,0,1,0,0,1,0,"(113.62129584255779,)"
88,0,0,0,0,0,0,0,0,1,0,"(113.65383848786277,)"
89,0,0,0,1,0,1,1,0,0,0,"(113.59216360574538,)"
90,0,0,1,0,0,1,0,0,1,0,"(113.69915918007894,)"
91,0,0,1,0,0,1,1,0,0,0,"(113.68831283116694,)"
92,1,0,0,0,0,0,0,0,0,1,"(114.2295370103509,)"
93,1,0,0,0,0,0,0,1,0,0,"(114.2451156460229,)"
94,0,0,0,1,0,0,0,0,0,1,"(114.27255227233701,)"
95,0,0,0,1,0,0,0,1,0,0,"(114.36014011845164,)"
96,0,1,0,0,0,0,0,0,0,1,"(114.34334234891605,)"
97,1,0,0,0,0,0,1,0,0,0,"(114.3824722973225,)"
98,0,1,0,0,0,0,0,1,0,0,"(114.40614361608309,)"
99,0,0,0,1,0,0,1,0,0,0,"(114.47062006043862,)"
